TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
ir.ramtung.impl2.Prof,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9614583333333333,960,923,1.0,111,1.0,111,0.0,000,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl2.Student,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9614984391259105,961,924,1.0,1111,1.0,111,0.0,000,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl2.Book,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9597938144329897,970,931,1.0,111111111,1.0,11111,0.0,00000,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl2.Person,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9483430799220273,1026,973,1.0,11111111111111111111111111111111111,1.0,111111111111111111,0.0,000000000000000000,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,0.8333333333333334,111101
ir.ramtung.impl2.Magazine,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9616580310880829,965,928,1.0,11111111,1.0,111,0.0,000,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,11
ir.ramtung.impl2.Reference,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9626168224299065,963,927,1.0,1111111,1.0,111,0.3333333333333333,001,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1
ir.ramtung.impl2.Document,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9580777096114519,978,937,1.0,11111111111,1.0,111111,0.0,000000,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,0.8333333333333334,110111
ir.ramtung.impl2.Library,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9108333333333334,1200,1093,0.9896907216494846,1111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111,0.9859154929577465,11111111111101111111111111111111111111111111111111111111111111111111111,0.0,00000000000000000000000000000000000000000000000000000000000000000000000,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,111111111111
ir.ramtung.sts01.ILibrary,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.953125,960,915,1.0,1,1.0,1,1.0,1,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,0.0,00000000000
ir.ramtung.sts01.LibraryException,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.9633123689727463,954,919,1.0,11,1.0,1,0.0,0,0.964172813487882,1111111111111111111110111111111111111111111111111111111011111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111110111011110111101111011110111101111111011110111111111111111111111111111011110111111111110111110111111111111101011111111101110111011111111111111111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111110111110010101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110,1.0,1
